,div?,home?,passing,rush,receive,kick,fumble,fum_lost,score,kicker_ratio,time,oppo_tot,oppo_sack,oppo_inn,pen_dif,pen_yard_dif
0,0,0,104.9,7.0,8.8,9,0,0,27,0.8333333333333334,0,79,3,0,3,66
1,0,1,89.7,2.9,12.5,10,1,1,22,1.0,0,53,3,0,-3,-66
2,0,0,84.3,3.6,14.0,3,0,0,21,1.0,1,73,3,1,7,27
3,0,0,52.2,6.0,7.4,5,1,0,17,1.0,1,73,2,2,-7,-27
4,0,0,119.4,5.6,8.7,5,1,1,29,1.0,1,77,4,0,0,4
5,0,1,114.5,6.9,11.9,7,0,0,49,1.0,1,56,1,1,0,-4
6,0,0,95.4,3.5,10.5,8,2,1,26,1.0,1,61,4,2,0,-19
7,0,1,103.0,6.0,9.7,4,1,1,34,0.6666666666666666,1,65,3,0,0,19
8,0,0,59.0,2.9,7.5,0,0,0,0,0.0,1,52,4,1,1,32
9,0,1,116.5,4.2,10.0,6,0,0,24,0.8,1,71,0,0,-1,-32
10,1,0,79.9,3.7,8.1,16,1,0,22,1.0,1,78,6,1,2,13
11,1,1,64.6,3.4,17.8,5,0,0,17,0.75,1,52,2,3,-2,-13
12,0,0,76.7,6.0,7.3,7,2,1,13,1.0,1,74,6,1,1,0
13,0,1,140.0,5.5,15.4,5,0,0,35,1.0,1,55,3,0,-1,0
14,0,0,138.7,4.1,13.2,7,1,1,31,1.0,1,63,2,0,1,25
15,0,1,108.1,4.3,11.9,9,0,0,27,1.0,1,58,1,0,-1,-25
16,1,0,80.4,4.7,16.7,8,0,0,34,0.6666666666666666,1,71,1,1,2,10
17,1,1,105.2,4.5,12.7,13,1,0,37,1.0,1,78,2,2,-2,-10
18,1,0,35.4,7.0,9.2,5,1,1,17,0.75,2,72,3,1,0,-10
19,1,1,67.7,2.4,8.9,4,0,0,10,1.0,2,50,3,1,0,10
20,0,0,71.4,2.8,10.4,7,3,2,13,1.0,2,68,5,0,3,28
21,0,1,104.0,3.5,9.2,9,1,1,27,1.0,2,61,3,0,-3,-28
22,1,0,148.2,4.8,12.2,7,1,0,31,1.0,2,69,3,0,-1,-42
23,1,1,91.4,2.7,8.5,2,0,0,14,1.0,2,59,2,0,1,42
24,0,0,98.7,3.4,12.1,5,0,0,17,1.0,2,73,2,1,0,27
25,0,1,100.1,4.7,11.8,10,2,2,16,1.0,2,60,2,0,0,-27
26,0,0,91.4,6.7,10.7,5,0,0,17,0.75,2,76,2,1,4,23
27,0,1,75.1,5.7,16.8,9,1,0,27,1.0,2,55,2,2,-4,-23
28,1,0,96.4,3.6,9.3,1,1,1,13,0.3333333333333333,2,57,5,1,-4,-50
29,1,1,110.4,3.9,16.4,6,1,1,32,0.8,2,84,2,1,4,50
